Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price
Volkswagen,Passat,1993,Universal,311254,2000,Metan/Propan,Manual,29000
Toyota,Avensis,2000,Sedan,420000,1600,Metan/Propan,Manual,2999
Seat,Alhambra,2002,Minivan,2,2000,Petrol,Manual,4299
Honda,CR-V,2002,Universal,275100,2000,Petrol,Manual,5900
BMW,5 Series,2015,Sedan,180236,2000,Diesel,Automatic,21500
Honda,CR-V,2010,Crossover,183000,2200,Diesel,Manual,12999
Nissan,Note,2011,Hatchback,195000,1500,Diesel,Manual,5250
Volkswagen,Passat,1993,Universal,311254,2000,Metan/Propan,Manual,29000
Opel,Astra,2010,Hatchback,190000,1300,Diesel,Manual,6500
Skoda,Rapid,2016,Universal,116000,1598,Petrol,Automatic,10300
Volkswagen,Sharan,2006,Minivan,250000,2000,Diesel,Manual,6900
Lexus,Es Series,2009,Sedan,149,3490,Metan/Propan,Automatic,10499
Nissan,Qashqai,2015,Crossover,149000,1200,Petrol,Automatic,12500
Skoda,Superb,2016,Sedan,170000,2000,Diesel,Automatic,17490
Toyota,Land Cruiser,2001,SUV,250000,4700,Metan/Propan,Automatic,9990
Toyota,Prius,2008,Hatchback,1,1500,Hybrid,Automatic,6800
Toyota,Corolla,2006,Universal,256000,1400,Diesel,Manual,5490
Mazda,Tribute,2002,SUV,255000,2000,Petrol,Manual,3990
Chevrolet,Volt,2011,Hatchback,190000,1400,Plug-in Hybrid,Automatic,9150
Mercedes,GLE Coupe,2019,Crossover,24000,3000,Petrol,Automatic,51000
Volkswagen,Passat,2002,Universal,270000,1800,Petrol,Manual,2550
Volkswagen,Touareg,2010,SUV,235000,3000,Diesel,Automatic,20950
BMW,5 Series,2000,Sedan,254604,2500,Petrol,Manual,4500
Renault,Megane,2009,Universal,165000,1500,Diesel,Manual,4999
Toyota,C-HR,2017,Crossover,115000,1800,Hybrid,Automatic,17999
BMW,7 Series,1998,Sedan,350000,3500,Petrol,Manual,3990
Mercedes,E Class,2012,Sedan,150000,2500,Diesel,Automatic,14490
Audi,A7,2018,Hatchback,31091,3000,Petrol,Automatic,35500
Renault,Clio,2006,Hatchback,280000,1461,Diesel,Manual,4299
Subaru,Trezia,2011,Microvan,176,1400,Diesel,Manual,5800
Citroen,C3,2012,Hatchback,145000,1400,Diesel,Automatic,6899
Audi,A6,1997,Sedan,29800,2400,Metan/Propan,Manual,2750
Ford,Fusion,2013,Sedan,178000,2000,Hybrid,Automatic,9290
Toyota,Prius,2014,Sedan,140000,800,Plug-in Hybrid,Automatic,11200
Volkswagen,Vento,1993,Sedan,300000,1800,Petrol,Manual,1700
Fiat,Stilo,2003,Hatchback,1,1200,Petrol,Manual,2650
KIA,Ceed,2009,Hatchback,1,1600,Diesel,Manual,4700
Renault,Captur,2017,Crossover,129000,1500,Diesel,Automatic,10990
Lexus,CT Series,2012,Hatchback,193000,1800,Hybrid,Automatic,10950
Volvo,XC60,2010,SUV,202000,2400,Diesel,Automatic,14750
Dacia,Dokker,2013,Minivan,209000,1500,Diesel,Manual,5750
Hyundai,i30,2010,Hatchback,145000,1400,Petrol,Manual,4750
Lexus,CT Series,2012,Hatchback,194000,1800,Hybrid,Automatic,9999
Volvo,XC90,2008,SUV,249000,2400,Diesel,Manual,11500
Hyundai,Getz,2008,Hatchback,142000,1100,Petrol,Manual,3499
Mercedes,A Class,2005,Hatchback,260000,1500,Metan/Propan,Automatic,4750
Mercedes,C Class,2002,Coupe,240000,2300,Petrol,Manual,3499
Jaguar,Xf,2012,Sedan,120000,2200,Diesel,Automatic,15999
Mercedes,E Class,2010,Sedan,182000,1800,Petrol,Automatic,11750
Skoda,Octavia,2005,Universal,300000,2000,Petrol,Manual,4999
Opel,Astra,2008,Universal,310000,1300,Diesel,Manual,4850
Skoda,Superb,2014,Sedan,186000,1600,Diesel,Automatic,12300
Volkswagen,Amarok,2011,Pickup,150000,2000,Diesel,Manual,12800
Mercedes,Vito,2000,Minivan,258000,2200,Diesel,Automatic,2999
Mercedes,E Class,2000,Sedan,999,2000,Petrol,Automatic,3199
Toyota,Auris,2010,Hatchback,1,1400,Hybrid,Automatic,8990
Nissan,Qashqai,2016,Crossover,151000,1500,Diesel,Manual,13890
BMW,5 Series,2018,Sedan,46000,2000,Petrol,Automatic,27650
Renault,Megane,2010,Universal,257110,1500,Diesel,Manual,4999
Ford,Mondeo,2016,Sedan,167000,1500,Diesel,Manual,12990
Toyota,C-HR,2018,Crossover,114000,1800,Hybrid,Automatic,16750
Nissan,Qashqai,2017,Crossover,157600,1500,Diesel,Manual,11990
Toyota,Auris,2014,Universal,190000,1800,Hybrid,Automatic,8990
Toyota,C-HR,2017,Crossover,119000,1800,Hybrid,Automatic,18790
Peugeot,3008,2018,Crossover,145000,1500,Diesel,Automatic,16790
Renault,Kadjar,2016,Crossover,150200,1500,Diesel,Automatic,13450
Lexus,NX Series,2015,SUV,149000,2500,Hybrid,Automatic,21750
Volkswagen,Passat,2006,Sedan,216000,2000,Petrol,Automatic,5350
Infiniti,Q Series,2016,Crossover,88000,1500,Diesel,Automatic,15790
Mitsubishi,Carisma,2002,Sedan,4,1800,Petrol,Automatic,2700
Skoda,Superb,2004,Sedan,1,1800,Petrol,Manual,3600
Mercedes,Vito,2003,Microvan,1,2200,Diesel,Manual,4600
Citroen,Berlingo,2001,Minivan,68286164,1900,Diesel,Manual,2050
Volkswagen,Passat,2007,Universal,320000,1600,Metan/Propan,Manual,5999
Hyundai,Matrix,2006,Hatchback,298000,1500,Diesel,Manual,2999
Honda,Civic,2017,Hatchback,27138,1500,Petrol,Automatic,13300
BMW,5 Series,2006,Sedan,1,2500,Petrol,Automatic,6350
Renault,Kadjar,2016,Crossover,140000,1500,Diesel,Automatic,12400
Skoda,Octavia,2012,Sedan,166000,1600,Diesel,Automatic,8990
Volkswagen,Golf,2000,Hatchback,1,1400,Petrol,Manual,2750
Skoda,Superb,2009,Sedan,223000,2000,Diesel,Automatic,8990
Toyota,Corolla,2006,Universal,198563,1400,Diesel,Automatic,5350
Volvo,S80,2000,Sedan,202698,2800,Petrol,Automatic,3999
Land Rover,Freelander,2000,SUV,230000,2000,Diesel,Manual,2750
BMW,5 Series,2018,Sedan,82000,2000,Diesel,Automatic,34000
Volkswagen,Passat,1995,Universal,250369,1800,Petrol,Manual,2700
KIA,Magentis,2005,Sedan,250632,2000,Metan/Propan,Manual,2690
Seat,Inca,1998,Combi,300000,1900,Diesel,Manual,1450
Skoda,Fabia,2012,Minivan,165500,1200,Diesel,Manual,5100
Skoda,Octavia,2010,Hatchback,1,1390,Petrol,Manual,6099
Mitsubishi,Outlander,2011,SUV,248000,2000,Petrol,Automatic,9900
Ford,Focus,2016,Universal,170000,1499,Diesel,Manual,8890
Renault,Megane,2008,Universal,245000,1500,Diesel,Manual,3600
Honda,Civic,1999,Universal,290000,1500,Petrol,Manual,1800
Hyundai,Tucson,2014,Crossover,120000,200,Metan/Propan,Automatic,12000
Toyota,Avensis,2004,Sedan,300,2000,Petrol,Manual,5000
Renault,Clio Symbol,2007,Sedan,211000,1400,Petrol,Manual,2900
Audi,A4,2012,Sedan,166700,2000,Petrol,Automatic,10200
Audi,A3 e-tron,2016,Hatchback,145000,1400,Electric,Automatic,16450
Lexus,CT Series,2014,Sedan,81700,1800,Hybrid,Automatic,12450
Toyota,Auris,2013,Universal,142865,1400,Diesel,Manual,8700
Vaz,2107,2007,Sedan,135865,1400,Petrol,Manual,1500
Renault,Grand Scenic,2013,Minivan,181000,1500,Diesel,Automatic,7000
Skoda,Octavia,2014,Universal,155000,1400,Petrol,Automatic,9700
Skoda,Octavia,2015,Sedan,164000,1600,Diesel,Automatic,12750
Volkswagen,Scirocco,2010,Coupe,150589,1400,Petrol,Manual,7999
Ford,Focus,2015,Universal,152523,1500,Diesel,Automatic,9300
Opel,Astra,2007,Universal,190000,1300,Diesel,Manual,4499
Toyota,Avensis,2014,Universal,165000,2000,Diesel,Manual,15600
BMW,7 Series,2006,Sedan,260000,3000,Diesel,Automatic,11000
Toyota,Auris,2011,Hatchback,182251,1798,Hybrid,Automatic,8200
Fiat,Grande Punto,2008,Hatchback,185000,1300,Diesel,Automatic,3600
Chevrolet,Aveo,2012,Hatchback,187000,1300,Diesel,Manual,4600
Renault,Megane,2005,Sedan,190000,1500,Diesel,Manual,3200
BMW,X5,2007,Crossover,250,3000,Diesel,Automatic,7100
Suzuki,Grand Vitara,2005,SUV,400000,2700,Petrol,Automatic,5500
Volkswagen,Golf,2010,Hatchback,225550,2000,Petrol,Automatic,9650
Daewoo,Kalos,2003,Hatchback,220000,1400,Petrol,Manual,2000
Nissan,Almera,2003,Hatchback,90000,1500,Petrol,Manual,1000
Renault,Grand Scenic,2013,Minivan,165000,1500,Diesel,Manual,7500
Honda,Clarity,2018,Hatchback,36000,1500,Plug-in Hybrid,Automatic,18499
Toyota,Verso,2015,Minivan,102000,1800,Petrol,Automatic,12500
BMW,5 Series,2004,Sedan,2899,2500,Petrol,Manual,6100
Mitsubishi,Outlander,2003,Crossover,208367,2000,Petrol,Manual,4600
Volkswagen,Touran,2011,Minivan,168000,1400,Petrol,Manual,7999
Toyota,Prius Prime,2019,Hatchback,2500,1800,Plug-in Hybrid,Automatic,18999
KIA,Sorento,2017,Crossover,0,2200,Diesel,Automatic,21490
Volkswagen,Transporter,2004,Microvan,190000,1896,Diesel,Manual,6300
Skoda,Octavia,2011,Universal,210000,1400,Petrol,Manual,6400
Lincoln,MKZ,2014,Sedan,160000,2000,Hybrid,Automatic,12200
Renault,Scenic,2004,Universal,180000,1500,Diesel,Manual,3300
Mercedes,Series (W123),1984,Universal,100000,2400,Diesel,Manual,1000
Toyota,Land Cruiser Prado,2007,Crossover,202000,2700,Metan/Propan,Automatic,14600
Volkswagen,Polo,2017,Hatchback,170000,1422,Diesel,Manual,8200
Seat,Ibiza,2001,Hatchback,1288776,1400,Petrol,Manual,1400
Toyota,Corolla,2005,Hatchback,252,1400,Diesel,Manual,4600
Volkswagen,Jetta,2013,Sedan,198000,1400,Hybrid,Automatic,8400
KIA,Rio,2004,Universal,183454,1300,Petrol,Manual,2500
BMW,X6,2013,Crossover,104000,2979,Petrol,Automatic,30900
Toyota,Corolla,2006,Hatchback,119000,1600,Petrol,Automatic,5700
Opel,Corsa,2007,Hatchback,283000,1300,Diesel,Manual,3499
Toyota,Auris,2017,Hatchback,146000,1800,Hybrid,Automatic,11900
Nissan,Qashqai,2009,Crossover,202000,1990,Petrol,Manual,7100
Ford,C-Max,2016,Microvan,141000,1500,Diesel,Manual,9000
Renault,Megane,2013,Minivan,220000,1500,Diesel,Manual,5000
Renault,Grand Scenic,2008,Hatchback,232012,1500,Diesel,Manual,3700
KIA,Sorento,2018,SUV,38999,2000,Diesel,Automatic,24800
Nissan,Qashqai,2014,Crossover,219000,1500,Diesel,Manual,10999
Land Rover,Freelander,2007,SUV,300000,2200,Diesel,Automatic,9200
Mazda,626,1994,Sedan,300000,200,Metan/Propan,Manual,18000
Toyota,Prius,2011,Hatchback,121000,1800,Hybrid,Automatic,7900
Hyundai,Matrix,2004,Universal,250000,1500,Diesel,Manual,4000
Opel,Zafira,2002,Minivan,11111111,2000,Metan/Propan,Manual,3700
Toyota,Auris,2014,Universal,200000,1390,Diesel,Manual,8600
Audi,Q5,2013,SUV,143000,2000,Petrol,Automatic,17850
Volkswagen,Caddy,2013,Universal,174000,2000,Diesel,Manual,9650
Toyota,Prius,2011,Hatchback,121000,1800,Hybrid,Automatic,7900
Hyundai,Matrix,2004,Universal,250000,1500,Diesel,Manual,4000
Opel,Zafira,2002,Minivan,11111111,2000,Metan/Propan,Manual,3700
Toyota,Auris,2014,Universal,200000,1390,Diesel,Manual,8600
Audi,Q5,2013,SUV,143000,2000,Petrol,Automatic,17850
Volkswagen,Caddy,2013,Universal,174000,2000,Diesel,Manual,9650
Volkswagen,Golf,2009,Universal,200000,1400,Petrol,Manual,4800
Volkswagen,Passat CC,1994,Sedan,68204075,1800,Petrol,Manual,1550
Nissan,Qashqai,2007,Crossover,137660,1500,Diesel,Manual,6600
Opel,Astra,2011,Universal,213548,1300,Diesel,Manual,5650
Toyota,Yaris,2006,Sedan,193096,1500,Petrol,Manual,3700
Opel,Calibra,1992,Coupe,400000,2000,Metan/Propan,Manual,1600
Renault,Kadjar,2016,Crossover,150425,1500,Diesel,Automatic,14990
Ford,Fusion,2018,Sedan,105000,2000,Hybrid,Automatic,15000
Volkswagen,Passat,2000,Combi,191000,1800,Metan/Propan,Automatic,3850
Renault,Clio,1998,Hatchback,129448,1600,Petrol,Automatic,2399
Renault,Grand Espace,2015,Minivan,168000,1600,Diesel,Automatic,18650
BMW,3 Series,1994,Sedan,180000,1600,Petrol,Manual,2400
Toyota,Prius,2016,Hatchback,0,1800,Hybrid,Automatic,12350
Skoda,Yeti,2015,Crossover,150000,1400,Petrol,Automatic,11000
Land Rover,Discovery,2007,SUV,223000,2700,Diesel,Automatic,15000
Volkswagen,Sharan,2011,Universal,141000,1400,Petrol,Manual,9800
Dacia,Lodgy,2013,Universal,0,1500,Diesel,Manual,7490
Volkswagen,Passat,2003,Sedan,250000,1922,Diesel,Automatic,4600
Mercedes,E Class,2006,Sedan,250000,2200,Diesel,Automatic,9999
Opel,Astra,2011,Universal,176000,1300,Diesel,Manual,6000
Audi,A4,2008,Universal,275,2000,Petrol,Automatic,7999
Renault,Grand Scenic,2014,Universal,167000,1500,Diesel,Automatic,8600
Dacia,Logan,2009,Universal,1,1600,Metan/Propan,Manual,3600
BMW,7 Series,2008,Sedan,387000,300,Petrol,Automatic,12000
BMW,7 Series,2011,Sedan,180000,2999,Diesel,Automatic,22000
Peugeot,807,2006,Minivan,170000,2000,Diesel,Automatic,2000
Honda,CR-V,2013,SUV,178500,2200,Diesel,Manual,15700
Skoda,Superb,2012,Sedan,265000,1800,Petrol,Automatic,8999
Mercedes,E Class,2002,Sedan,331200,2200,Diesel,Automatic,6399
Skoda,Superb,2017,Sedan,120000,1999,Petrol,Automatic,23900
BMW,5 Series,2011,Sedan,123,2000,Diesel,Automatic,16600
Volkswagen,Jetta,2013,Sedan,110000,1400,Hybrid,Automatic,8000
Hyundai,ix35,2010,Pickup,190000,2000,Diesel,Automatic,12000
Toyota,Prius c,2014,Hatchback,144947,1496,Hybrid,Automatic,7499
Renault,Grand Scenic,2012,Universal,180000,1500,Diesel,Manual,7499
BMW,X5,2012,SUV,157000,3000,Petrol,Automatic,17499
Renault,Talisman,2016,Sedan,151130,1500,Diesel,Manual,12499
Opel,Meriva,2005,Hatchback,0,1400,Petrol,Manual,3550
Renault,Megane,2006,Universal,170000,2000,Metan/Propan,Manual,2900
Nissan,Juke,2011,SUV,155000,1600,Petrol,Automatic,9300
Subaru,Trezia,2011,Hatchback,116000,1400,Diesel,Automatic,7300
Dacia,Logan,2007,Sedan,185000,1500,Diesel,Manual,3400
Nissan,X-Trail,2015,SUV,124000,1600,Diesel,Automatic,13000
Mercedes,C Class,2015,Universal,222000,2000,Plug-in Hybrid,Automatic,17500
Toyota,Rav 4,2016,Crossover,133494,2494,Hybrid,Automatic,21500
Mercedes,S Class,2001,Sedan,250830,4000,Diesel,Automatic,4700
BMW,5 Series,2011,Sedan,1,2000,Diesel,Automatic,17500
Datsun,on-DO,2016,Sedan,150000,1596,Metan/Propan,Manual,3200
Seat,Ibiza,2011,Universal,190000,1200,Diesel,Manual,5100
Nissan,Juke,2012,Crossover,124000,1600,Petrol,Automatic,9999
Audi,A4,1997,Sedan,300000,1800,Metan/Propan,Automatic,2700
Opel,Astra,2012,Universal,200000,1300,Diesel,Manual,6000
Citroen,C5,2006,Universal,240000,1600,Diesel,Manual,2700
Mercedes,C Class,2015,Sedan,75000,2000,Petrol,Automatic,19000
Vaz,2121niva,1982,Hatchback,1563215,1600,Petrol,Manual,1050
Citroen,Berlingo,2004,Minivan,1,200,Diesel,Manual,2000
BMW,X3,2009,SUV,192000,200,Diesel,Manual,11000
Ford,Fiesta 5D,2011,Hatchback,130000,1400,Metan/Propan,Manual,4700
Volkswagen,Touran,2009,Universal,168,1400,Petrol,Automatic,7390
Renault,Megane,2004,Hatchback,79593986,1600,Petrol,Manual,1050
Volvo,XC90,2015,SUV,180000,2000,Petrol,Automatic,26500
Renault,Megane,2014,Universal,210000,1500,Diesel,Manual,7199
BMW,5 Series,2017,Sedan,77000,2000,Diesel,Automatic,33000
Hyundai,Santa FE,2012,SUV,180000,2200,Diesel,Automatic,16750
Skoda,Superb,2012,Sedan,196000,1600,Diesel,Manual,9950
Peugeot,307,2006,Coupe,150,1600,Petrol,Manual,1500
Volkswagen,Touran,2009,Universal,168,1400,Petrol,Automatic,7390
Renault,Megane,2004,Hatchback,79593986,1600,Petrol,Manual,1050
Volvo,XC90,2015,SUV,180000,2000,Petrol,Automatic,26500
Renault,Megane,2014,Universal,210000,1500,Diesel,Manual,7199
BMW,X3,2015,Crossover,159000,1996,Diesel,Automatic,20500
BMW,3 Series,2003,Hatchback,190,1995,Petrol,Automatic,2000
Nissan,Note,2013,Hatchback,172000,1461,Diesel,Manual,6299
Peugeot,307,2006,Coupe,150,1600,Petrol,Manual,1500
Toyota,Rav 4,2019,Crossover,19000,2500,Hybrid,Automatic,30000
Volvo,XC90,2015,SUV,155000,1996,Petrol,Automatic,27800
Lexus,CT Series,2016,Hatchback,64000,1798,Hybrid,Automatic,16000
Renault,Grand Modus,2011,Hatchback,174000,1461,Diesel,Manual,4550
Toyota,Auris,2010,Hatchback,187000,1400,Diesel,Manual,6500
Toyota,Auris,2007,Hatchback,235000,1500,Diesel,Manual,5400
Renault,Scenic,2012,Universal,1,1500,Diesel,Manual,6200
BMW,7 Series,2017,Sedan,92000,2993,Diesel,Automatic,45000
Volkswagen,Caddy,2014,Minivan,180000,1600,Diesel,Manual,5800
Opel,Corsa,2011,Hatchback,125000,1300,Diesel,Manual,3750
Toyota,Avensis,2005,Hatchback,260,200,Petrol,Manual,5300
Honda,CR-V,2013,Crossover,192000,2200,Diesel,Automatic,17500
Mitsubishi,Space Wagon,1995,Minivan,300000,2000,Metan/Propan,Manual,2500
Volkswagen,Polo,2007,Hatchback,240000,1400,Diesel,Manual,3750
Audi,A6,2018,Sedan,0,1800,Petrol,Automatic,25999
Hyundai,Santa FE,2015,Crossover,161000,2000,Diesel,Automatic,18000
Mazda,6,2014,Sedan,230000,2200,Diesel,Automatic,13000
Volkswagen,Caddy,2015,Microvan,152000,1600,Diesel,Manual,10300
BMW,5 Series,2006,Sedan,312000,2500,Petrol,Automatic,7800
BMW,5 Series,2002,Sedan,251000,2499,Diesel,Manual,4650
Mercedes,E Class,2019,Sedan,50000,2200,Diesel,Automatic,37000
Volkswagen,Golf,2009,Universal,180000,1400,Petrol,Manual,5300
Toyota,Corolla,2007,Universal,226000,1400,Diesel,Manual,5500
Audi,A4,2004,Cabriolet,200000,1800,Petrol,Automatic,6500
Volkswagen,Caddy,2012,Minivan,163500,200,Diesel,Manual,14200
Toyota,Auris,2013,Hatchback,133000,1798,Hybrid,Automatic,10000
Volkswagen,Jetta,2013,Sedan,131000,1400,Hybrid,Automatic,8500
Opel,Astra,2006,Universal,368000,1300,Diesel,Manual,3650
BMW,3 Series,2006,Sedan,180000,300,Petrol,Automatic,6000
Mercedes,A Class,2000,Sedan,258,1700,Diesel,Automatic,2900
Skoda,Fabia,2011,Universal,160000,1200,Diesel,Manual,4999
Skoda,Octavia,2010,Universal,1,1400,Petrol,Manual,5350
Mercedes,E Class,2016,Sedan,161024,2200,Diesel,Automatic,26950
Honda,Civic,2006,Hatchback,195000,1400,Petrol,Manual,5400
Ford,Fusion,2015,Sedan,124000,2000,Plug-in Hybrid,Automatic,11499
Ford,Fusion,2003,Hatchback,330000,1400,Diesel,Automatic,4100
Dacia,Logan,2005,Sedan,21548,1400,Metan/Propan,Manual,2200
Volkswagen,Golf,2004,Hatchback,200000,1399,Petrol,Manual,4200
Mercedes,GLK Class,2014,Crossover,131000,2200,Diesel,Automatic,19900
Renault,Scenic,2002,Microvan,100,1600,Metan/Propan,Manual,1000
Toyota,Carina,1998,Sedan,268000,1800,Petrol,Manual,2650
Honda,CR-V,2014,Crossover,128200,2200,Diesel,Automatic,17999
Volvo,XC90,2006,SUV,162000,2900,Metan/Propan,Automatic,8490
Volkswagen,Touran,2012,Minivan,211856,200,Diesel,Automatic,6000
Volkswagen,Polo,1998,Hatchback,98000,1000,Petrol,Manual,900
Toyota,Camry,2015,Sedan,73179,2500,Petrol,Automatic,14000
Audi,80,1993,Sedan,11111111,200,Metan/Propan,Manual,1150
Audi,A4,2012,Sedan,88000,3000,Petrol,Automatic,14800
Hyundai,ix35,2014,Crossover,150300,2000,Petrol,Automatic,13200
Mercedes,E Class,1996,Sedan,460000,2200,Diesel,Manual,1300
Renault,Kadjar,2015,Crossover,139000,1461,Diesel,Automatic,12800
Opel,Astra,2006,Hatchback,360000,1300,Diesel,Manual,2999
Ford,F-150,2010,Pickup,171264,5400,Petrol,Automatic,19999
Volkswagen,Transporter,2010,Minivan,203000,2000,Diesel,Manual,8250
Volkswagen,Caddy,2008,Minivan,270,2000,Diesel,Manual,6700
Honda,Accord,1996,Sedan,325000,1997,Petrol,Manual,2200
Skoda,Superb,2014,Sedan,202300,1598,Diesel,Automatic,13199
Lexus,GS Series,2005,Sedan,230000,4300,Petrol,Automatic,10000
Renault,Megane,2012,Universal,162200,1461,Diesel,Manual,5899
Skoda,Octavia,2018,Universal,146600,1600,Diesel,Automatic,12700
Opel,Astra,2010,Hatchback,97000,1598,Petrol,Automatic,7700
Toyota,Auris,2014,Universal,191000,1800,Metan/Propan,Automatic,9700
Toyota,Camry,2018,Sedan,60000,2500,Metan/Propan,Automatic,20000
Renault,Grand Scenic,2013,Universal,190000,1500,Diesel,Manual,8500
Renault,Kadjar,2015,SUV,184000,1500,Diesel,Automatic,10999
Volvo,XC90,2006,SUV,294000,2400,Diesel,Automatic,8500
Volkswagen,Golf,2010,Hatchback,164000,1400,Petrol,Automatic,7650
Lexus,CT Series,2011,Hatchback,122841,1800,Hybrid,Automatic,11600
Mazda,2,2008,Hatchback,172000,1399,Diesel,Manual,4999
Lexus,GS Series,2005,Sedan,230000,4300,Petrol,Automatic,10000
Renault,Megane,2012,Universal,162200,1461,Diesel,Manual,5899
Skoda,Octavia,2018,Universal,146600,1600,Diesel,Automatic,12700
